Aircraft,Year,"($) Parts, Repair and Overhaul Costs per hour of flight"
Bell 206,2006, 234.45 
Bell 206,2007, 333.63 
Bell 206,2008, 248.59 
Bell 206,2009, 292.74 
Bell 206,2010, 331.05 
Bell 206,2011, 229.59 
Bell 206,2012, 171.31 
Bell 206,2013, 85.18 
Bell 206,2014, 377.89 
Bell 206,2015, 118.99 
Bell 206,2016, 228.00 
Bell 407,2006, 76.56 
Bell 407,2007, 253.51 
Bell 407,2008, 177.09 
Bell 407,2009, 135.20 
Bell 407,2010, 158.53 
Bell 407,2011, 113.21 
Bell 407,2012, 250.81 
Bell 407,2013, 154.53 
Bell 407,2014, 570.18 
Bell 407,2015, 357.32 
Bell 407,2016, 313.00 
Cessna 182,2006, 66.78 
Cessna 182,2007, 38.15 
Cessna 182,2008, 126.16 
Cessna 182,2009, 209.15 
Cessna 182,2010, 138.73 
Cessna 182,2011, 138.73 
Cessna 182,2012, -   
Cessna 182,2013, -   
Cessna 182,2014, -   
Cessna 182,2015, -   
Cessna 182,2016, -   
Cessna 206,2006, 180.80 
Cessna 206,2007, 157.30 
Cessna 206,2008, 236.50 
Cessna 206,2009, 209.15 
Cessna 206,2010, 138.73 
Cessna 206,2011, 138.73 
Cessna 206,2012, -   
Cessna 206,2013, -   
Cessna 206,2014, -   
Cessna 206,2015, -   
Cessna 206,2016, -   
Citation II,2006, 318.52 
Citation II,2007, 571.49 
Citation II,2008, 365.10 
Citation II,2009, 535.40 
Citation II,2010, 323.36 
Citation II,2011, 328.91 
Citation II,2012, 399.08 
Citation II,2013, 489.95 
Citation II,2014, 468.00 
Citation II,2015, 271.32 
Citation II,2016, 556.00 
King Air C90A,2006, 284.28 
King Air C90A,2007, 218.59 
King Air C90A,2008, 201.92 
King Air C90A,2009, 222.62 
King Air C90A,2010, 217.53 
King Air C90A,2011, 181.47 
King Air C90A,2012, 207.16 
King Air C90A,2013, 238.19 
King Air C90A,2014, 208.20 
King Air C90A,2015, 453.52 
King Air C90A,2016, 278.00 
Twin Otter,2006, 162.54 
Twin Otter,2007, 520.74 
Twin Otter,2008, 361.12 
Twin Otter,2009, 309.75 
Twin Otter,2010, 321.31 
Twin Otter,2011, 321.31 
Twin Otter,2012, -   
Twin Otter,2013, -   
Twin Otter,2014, -   
Twin Otter,2015, -   
Twin Otter,2016, -   
DASH 8,2006, -   
DASH 8,2007, 634.68 
DASH 8,2008, 303.56 
DASH 8,2009, 440.14 
DASH 8,2010, 491.75 
DASH 8,2011, 627.40 
DASH 8,2012, 328.20 
DASH 8,2013, 575.14 
DASH 8,2014, 456.40 
DASH 8,2015, 271.26 
DASH 8,2016, 452.00 
DASH 7,2006, 389.19 
DASH 7,2007, 309.60 
DASH 7,2008, 919.11 
DASH 7,2009, 806.06 
DASH 7,2010, 575.37 
DASH 7,2011, 462.65 
DASH 7,2012, 746.51 
DASH 7,2013, 567.12 
DASH 7,2014, 600.30 
DASH 7,2015, 702.76 
DASH 7,2016, 677.00 
Challenger ,2006," 1,266.95 "
Challenger ,2007," 1,918.80 "
Challenger ,2008," 2,806.33 "
Challenger ,2009," 3,690.29 "
Challenger ,2010," 3,041.49 "
Challenger ,2011," 2,018.21 "
Challenger ,2012, -   
Challenger ,2013, -   
Challenger ,2014, -   
Challenger ,2015, -   
Challenger ,2016, -   
